,country,Life Satisfaction,Life Satisfaction latest year,Log GDP per capita,Log GDP per capita latest year,Social support,Social support latest year,Healthy life expectancy at birth,Healthy life expectancy at birth latest year,Positive Affect: % of time spent happy,Positive Affect: % of time spent happy latest year,Negative Affect: % of time feeling negative emotions,Negative Affect: % of time feeling negative emotions latest year,Confidence in national government,Confidence in national government latest year,Gini Index: Income Inequality,Gini Index: Income Inequality latest year
0,Afghanistan,2.6943032739999997,2018.0,7.494587898,2018.0,0.5075158479999999,2018.0,52.59999847,2018.0,0.424125314,2018.0,0.404904395,2018.0,0.36466640200000006,2018.0,,2018.0
1,Albania,5.004402637,2018.0,9.412399292,2018.0,0.683591664,2018.0,68.69999695,2018.0,0.713299572,2018.0,0.318996727,2018.0,0.435337961,2018.0,0.30325,2018.0
2,Algeria,5.043086052,2018.0,9.557951927000001,2018.0,0.798651338,2018.0,65.90000153,2018.0,0.591042936,2018.0,0.292945564,2018.0,,2018.0,0.276,2018.0
3,Angola,3.794837952,2014.0,8.741480827,2014.0,0.754615486,2014.0,54.59999847,2014.0,0.578517139,2014.0,0.367864132,2014.0,0.572345674,2014.0,0.4735,2014.0
4,Argentina,5.792796612,2018.0,9.809971809,2018.0,0.899911582,2018.0,68.80000305,2018.0,0.8203096990000001,2018.0,0.320502073,2018.0,0.261352271,2018.0,0.4609375,2018.0
5,Armenia,5.062448502,2018.0,9.119423866,2018.0,0.8144490120000001,2018.0,66.90000153,2018.0,0.581487715,2018.0,0.45484027299999996,2018.0,0.670827627,2018.0,0.31925,2018.0
6,Australia,7.17699337,2018.0,10.721020699999999,2018.0,0.940137267,2018.0,73.59999847,2018.0,0.7590188379999999,2018.0,0.18745636899999998,2018.0,0.46883687399999996,2018.0,0.34275,2018.0
7,Austria,7.396001816,2018.0,10.74189281,2018.0,0.911668122,2018.0,73.0,2018.0,0.75235039,2018.0,0.226058796,2018.0,0.488678724,2018.0,0.302692308,2018.0
8,Azerbaijan,5.1679954530000005,2018.0,9.678013802,2018.0,0.781229913,2018.0,65.5,2018.0,0.592575371,2018.0,0.191391662,2018.0,0.834371924,2018.0,0.21100000000000002,2018.0
9,,,,,,,,,,,,,,,,,
10,Bangladesh,4.499217033,2018.0,8.22074604,2018.0,0.705556035,2018.0,64.30000305,2018.0,0.5413447020000001,2018.0,0.361237794,2018.0,0.8316931129999999,2018.0,0.32775,2018.0
11,Belarus,5.233769894,2018.0,9.778738976,2018.0,0.9045692679999999,2018.0,66.09999847,2018.0,0.45033285,2018.0,0.23572862100000003,2018.0,0.421278685,2018.0,0.281294118,2018.0
12,Belgium,6.89217186,2018.0,10.672445300000001,2018.0,0.9298155309999999,2018.0,72.0,2018.0,0.74956274,2018.0,0.250297338,2018.0,0.44194454,2018.0,0.284307692,2018.0
13,Belize,5.955646515,2014.0,8.987143517,2014.0,0.756932497,2014.0,62.22000122,2014.0,0.754977345,2014.0,0.281604409,2014.0,0.384267181,2014.0,,2014.0
14,Benin,5.81982708,2018.0,7.663907051,2018.0,0.503544033,2018.0,54.29999924,2018.0,0.6466551420000001,2018.0,0.467871815,2018.0,0.639219761,2018.0,0.432666667,2018.0
15,Bhutan,5.082128525,2015.0,8.954587936,2015.0,0.8475744129999999,2015.0,60.20000076,2015.0,0.80964148,2015.0,0.31158930100000004,2015.0,0.946393013,2015.0,0.392666667,2015.0
16,Bolivia,5.915734291000001,2018.0,8.860530853,2018.0,0.8271594640000001,2018.0,63.59999847,2018.0,0.741972625,2018.0,0.38746887399999996,2018.0,0.399588227,2018.0,0.5216,2018.0
17,Bosnia and Herzegovina,5.887401103999999,2018.0,9.402726173,2018.0,0.835889578,2018.0,67.80000305,2018.0,0.642939508,2018.0,0.27736505899999997,2018.0,0.254097164,2018.0,0.3256,2018.0
18,Botswana,3.4613657,2018.0,9.680226326,2018.0,0.794936001,2018.0,58.90000153,2018.0,0.729643226,2018.0,0.267083704,2018.0,0.718788147,2018.0,0.626,2018.0
19,Brazil,6.190921782999999,2018.0,9.557932854,2018.0,0.881505251,2018.0,66.40000153,2018.0,0.749727845,2018.0,0.349656254,2018.0,0.16818665,2018.0,0.547285714,2018.0
20,Bulgaria,5.098813534,2018.0,9.873218536,2018.0,0.9238532779999999,2018.0,66.80000305,2018.0,0.639021873,2018.0,0.189090982,2018.0,0.218995899,2018.0,0.35466666700000005,2018.0
21,Burkina Faso,4.92723608,2018.0,7.47052002,2018.0,0.664859474,2018.0,53.90000153,2018.0,0.7108835579999999,2018.0,0.342865527,2018.0,0.622255087,2018.0,0.394666667,2018.0
22,Burundi,3.775283098,2018.0,6.541032791,2018.0,0.484715223,2018.0,53.40000153,2018.0,0.6664415,2018.0,0.362766594,2018.0,,2018.0,0.36,2018.0
23,Cambodia,5.1218376160000005,2018.0,8.253352165,2018.0,0.7946053740000001,2018.0,61.59999847,2018.0,0.8445925120000001,2018.0,0.414345801,2018.0,,2018.0,,2018.0
24,Cameroon,5.250737667,2018.0,8.133470535,2018.0,0.676825225,2018.0,52.70000076,2018.0,0.642436504,2018.0,0.35564240799999997,2018.0,0.6452263,2018.0,0.438333333,2018.0
25,Canada,7.175496578,2018.0,10.70124817,2018.0,0.922718763,2018.0,73.59999847,2018.0,0.8236686590000001,2018.0,0.25939765600000003,2018.0,0.610466897,2018.0,0.3368,2018.0
26,Central African Republic,3.475862026,2017.0,6.494116783,2017.0,0.319589138,2017.0,45.20000076,2017.0,0.6138651970000001,2017.0,0.599335492,2017.0,0.650284886,2017.0,0.499,2017.0
27,Chad,4.4863252639999995,2018.0,7.472574711,2018.0,0.57725358,2018.0,48.20000076,2018.0,0.552737296,2018.0,0.543836236,2018.0,0.57743603,2018.0,0.4155,2018.0
28,Chile,6.436220646000001,2018.0,10.06591988,2018.0,0.890084922,2018.0,69.90000153,2018.0,0.8325622079999999,2018.0,0.275820225,2018.0,0.334744155,2018.0,0.491571429,2018.0
29,China,5.131433964,2018.0,9.694375992000001,2018.0,0.787605345,2018.0,69.30000305,2018.0,0.85578388,2018.0,0.189639792,2018.0,,2018.0,0.425,2018.0
30,Colombia,5.983512402000001,2018.0,9.511734009,2018.0,0.870970428,2018.0,67.69999695,2018.0,0.825455189,2018.0,0.300624102,2018.0,0.274869502,2018.0,0.5416,2018.0
31,Republic of the Congo,5.490214347999999,2018.0,8.473278999,2018.0,0.6206229329999999,2018.0,57.90000153,2018.0,0.587506592,2018.0,0.44764617100000004,2018.0,0.473673612,2018.0,0.48100000000000004,2018.0
32,Democratic Republic of the Congo,4.311033248999999,2017.0,6.694726944,2017.0,0.669688404,2017.0,52.90000153,2017.0,0.550525904,2017.0,0.40426206600000003,2017.0,0.47841229999999996,2017.0,0.4215,2017.0
33,Costa Rica,7.141074657000001,2018.0,9.669425964,2018.0,0.875872433,2018.0,71.30000305,2018.0,0.8700978159999999,2018.0,0.32586664,2018.0,0.47997778700000004,2018.0,0.490882353,2018.0
34,Croatia,5.536271095,2018.0,10.06575108,2018.0,0.909806848,2018.0,70.19999695,2018.0,0.582044125,2018.0,0.29037597800000003,2018.0,0.248180911,2018.0,0.321428571,2018.0
35,Cuba,5.417868614,2006.0,9.67642498,2006.0,0.9695951340000001,2006.0,68.44000244,2006.0,0.646711767,2006.0,0.276601523,2006.0,0.513175547,2006.0,,2006.0
36,Cyprus,6.276443005,2018.0,,2018.0,0.825573206,2018.0,73.69999695,2018.0,0.7501224879999999,2018.0,0.298021138,2018.0,0.35244044700000005,2018.0,0.32616666699999997,2018.0
37,Czechia,7.034165382,2018.0,10.41947365,2018.0,0.929163933,2018.0,70.30000305,2018.0,0.7137001159999999,2018.0,0.178068101,2018.0,0.420783311,2018.0,0.26416666699999997,2018.0
38,Denmark,7.648785591,2018.0,10.75559425,2018.0,0.958218873,2018.0,72.40000153,2018.0,0.8214226370000001,2018.0,0.20605281,2018.0,0.6324784760000001,2018.0,0.267,2018.0
39,Djibouti,4.369193554,2011.0,7.90300703,2011.0,0.6329732539999999,2011.0,54.70000076,2011.0,0.579302847,2011.0,0.180592626,2011.0,0.678491235,2011.0,0.430666667,2011.0
40,Dominican Republic,5.433215617999999,2018.0,9.626997948,2018.0,0.8619863390000001,2018.0,65.80000305,2018.0,0.744871855,2018.0,0.291403025,2018.0,0.42177102,2018.0,0.48470588200000003,2018.0
41,Ecuador,6.128010272999999,2018.0,9.27445507,2018.0,0.8513450029999999,2018.0,68.5,2018.0,0.876474917,2018.0,0.328171045,2018.0,0.402085185,2018.0,0.496,2018.0
42,Egypt,4.005450726,2018.0,9.293959617999999,2018.0,0.75882405,2018.0,61.70000076,2018.0,0.49226075399999997,2018.0,0.28518378699999997,2018.0,,2018.0,0.312,2018.0
43,El Salvador,6.276246071,2018.0,8.911958693999999,2018.0,0.8239991659999999,2018.0,66.09999847,2018.0,0.871536493,2018.0,0.265370607,2018.0,0.323992044,2018.0,0.457823529,2018.0
44,Estonia,6.091302395,2018.0,10.32410717,2018.0,0.9326937790000001,2018.0,68.59999847,2018.0,0.794730246,2018.0,0.16318211,2018.0,0.42020258299999996,2018.0,0.332461538,2018.0
45,Ethiopia,4.3792624469999994,2018.0,7.524516582,2018.0,0.740154505,2018.0,58.5,2018.0,0.659520864,2018.0,0.271753967,2018.0,0.875270963,2018.0,0.34033333299999996,2018.0
46,Finland,7.85810709,2018.0,10.63605976,2018.0,0.9621550440000001,2018.0,71.90000153,2018.0,0.781546414,2018.0,0.18178065100000002,2018.0,0.555102229,2018.0,0.275615385,2018.0
47,France,6.665903567999999,2018.0,10.57335186,2018.0,0.921463072,2018.0,73.80000305,2018.0,0.767313421,2018.0,0.282451361,2018.0,0.38054743399999996,2018.0,0.320923077,2018.0
48,Gabon,4.783009052,2018.0,9.718316077999999,2018.0,0.78482759,2018.0,59.70000076,2018.0,0.640691638,2018.0,0.41766098100000004,2018.0,0.311373711,2018.0,0.42200000000000004,2018.0
49,Gambia,4.922099113,2018.0,7.376553535,2018.0,0.6847999690000001,2018.0,55.0,2018.0,0.8040121790000001,2018.0,0.37920770000000004,2018.0,0.757543445,2018.0,0.42266666700000005,2018.0
50,Georgia,4.659097195,2018.0,9.229100227,2018.0,0.617218554,2018.0,64.5,2018.0,0.5729534629999999,2018.0,0.24377891399999999,2018.0,0.30000618100000004,2018.0,0.380117647,2018.0
51,Germany,7.118364334,2018.0,10.73094463,2018.0,0.9197631479999999,2018.0,72.19999695,2018.0,0.7802804109999999,2018.0,0.243214577,2018.0,0.592990577,2018.0,0.306222222,2018.0
52,Ghana,5.481310843999999,2017.0,8.349396706,2017.0,0.669111073,2017.0,56.79999924,2017.0,0.702511728,2017.0,0.247518942,2017.0,0.670288563,2017.0,0.426,2017.0
53,Greece,5.40928936,2018.0,10.13205814,2018.0,0.793500781,2018.0,72.40000153,2018.0,0.665699065,2018.0,0.255006582,2018.0,0.157048658,2018.0,0.346384615,2018.0
54,Guatemala,6.626591682000001,2018.0,8.923428535,2018.0,0.8411072490000001,2018.0,64.80000305,2018.0,0.871362031,2018.0,0.262411267,2018.0,0.45706442,2018.0,0.523666667,2018.0
55,Guinea,5.25222683,2018.0,7.633718013999999,2018.0,0.630433142,2018.0,54.40000153,2018.0,0.743881047,2018.0,0.4404383,2018.0,0.59172374,2018.0,0.387,2018.0
56,Guyana,5.992826462000001,2007.0,8.577043533,2007.0,0.8487651940000001,2007.0,57.25999832,2007.0,0.7675405740000001,2007.0,0.29641977,2007.0,0.464712054,2007.0,,2007.0
57,Haiti,3.614928007,2018.0,7.416091918999999,2018.0,0.537975907,2018.0,55.70000076,2018.0,0.5841133000000001,2018.0,0.35872003399999997,2018.0,0.367896646,2018.0,0.41100000000000003,2018.0
58,Honduras,5.908423901,2018.0,8.439203262000001,2018.0,0.8270670179999999,2018.0,67.19999695,2018.0,0.871844649,2018.0,0.287357897,2018.0,0.39891368200000005,2018.0,0.5466875,2018.0
59,Hungary,6.065038681,2017.0,10.19531918,2017.0,0.8767475490000001,2017.0,67.19999695,2017.0,0.735184252,2017.0,0.18092127100000002,2017.0,0.377770513,2017.0,0.29791666699999997,2017.0
60,Iceland,7.476213932,2017.0,10.74684143,2017.0,0.966752827,2017.0,73.0,2017.0,0.895254552,2017.0,0.148160011,2017.0,0.36504194100000004,2017.0,0.280833333,2017.0
61,India,3.818068743,2018.0,8.830280304,2018.0,0.638051987,2018.0,60.09999847,2018.0,0.65728718,2018.0,0.357458085,2018.0,0.753280878,2018.0,0.35100000000000003,2018.0
62,Indonesia,5.340295792,2018.0,9.362827301,2018.0,0.809378862,2018.0,62.09999847,2018.0,0.863717854,2018.0,0.295986801,2018.0,0.837602735,2018.0,0.395,2018.0
63,Iran,4.278117657,2018.0,9.886064529,2018.0,0.6737647059999999,2018.0,66.0,2018.0,0.553196609,2018.0,0.493148893,2018.0,0.549940705,2018.0,0.4134,2018.0
64,Iraq,4.462399006,2017.0,9.659119606,2017.0,0.695109367,2017.0,59.59999847,2017.0,0.505288541,2017.0,0.59053874,2017.0,0.42405077799999996,2017.0,0.2905,2017.0
65,Ireland,6.962335587,2018.0,11.16332817,2018.0,0.937862396,2018.0,72.30000305,2018.0,0.8108572359999999,2018.0,0.21305006699999998,2018.0,0.618405282,2018.0,0.326153846,2018.0
66,Israel,6.92717886,2018.0,10.4245739,2018.0,0.90959543,2018.0,73.30000305,2018.0,0.66348964,2018.0,0.28206256,2018.0,0.42232972399999996,2018.0,0.4112,2018.0
67,Italy,6.516526699,2018.0,10.48051643,2018.0,0.912656128,2018.0,73.59999847,2018.0,0.649023056,2018.0,0.40297535100000004,2018.0,0.206626192,2018.0,0.344,2018.0
68,Ivory Coast,5.26837492,2018.0,8.236133575,2018.0,0.620882571,2018.0,49.5,2018.0,0.6820983890000001,2018.0,0.385631382,2018.0,0.535438716,2018.0,0.42,2018.0
69,Jamaica,5.889759064,2017.0,9.011104584,2017.0,0.91302985,2017.0,67.09999847,2017.0,0.769282162,2017.0,0.243399635,2017.0,0.34820175200000003,2017.0,0.469,2017.0
70,Japan,5.793575287,2018.0,10.58161831,2018.0,0.886431932,2018.0,75.0,2018.0,0.7033550140000001,2018.0,0.18530015600000002,2018.0,0.38488039399999996,2018.0,0.321,2018.0
71,Jordan,4.638933659,2018.0,9.024435042999999,2018.0,0.799544334,2018.0,66.80000305,2018.0,,2018.0,,2018.0,,2018.0,0.34299999999999997,2018.0
72,Kazakhstan,6.00763607,2018.0,10.111166,2018.0,0.936656713,2018.0,64.59999847,2018.0,0.69319874,2018.0,0.16154228199999998,2018.0,0.615031958,2018.0,0.305866667,2018.0
73,Kenya,4.655702591,2018.0,8.03267765,2018.0,0.706719875,2018.0,60.09999847,2018.0,0.7591028809999999,2018.0,0.23692077399999997,2018.0,0.6753672959999999,2018.0,0.4365,2018.0
74,Kosovo,6.391825676,2018.0,,2018.0,0.82240653,2018.0,65.14982605,2018.0,0.7782713170000001,2018.0,0.170248464,2018.0,0.34754654799999996,2018.0,0.289909091,2018.0
75,Kuwait,6.093905449,2017.0,11.09027195,2017.0,0.8534913059999999,2017.0,66.5,2017.0,0.692071915,2017.0,0.30732080300000003,2017.0,,2017.0,,2017.0
76,Kyrgyzstan,5.297383308,2018.0,8.151305199,2018.0,0.8981478209999999,2018.0,64.09999847,2018.0,0.763270557,2018.0,0.203300148,2018.0,0.49706554399999997,2018.0,0.304117647,2018.0
77,Laos,4.85940218,2018.0,8.813603401,2018.0,0.70473814,2018.0,58.70000076,2018.0,0.852213562,2018.0,0.331882507,2018.0,,2018.0,0.348,2018.0
78,Latvia,5.901154041,2018.0,10.18411732,2018.0,0.913276315,2018.0,66.80000305,2018.0,0.585233271,2018.0,0.191870555,2018.0,0.19716229999999998,2018.0,0.360333333,2018.0
